Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
42/DZ_PG_68/ZM4395/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973517893 43.61290535, 3.973548142 43.61288675, 3.973596142 43.61292796, 3.973565893 43.61294656, 3.973517893 43.61290535));;Maize;iPG311;WW;1
43/DZ_PG_39/ZM4371/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973487644 43.61292396, 3.973517893 43.61290535, 3.973565893 43.61294656, 3.973535644 43.61296516, 3.973487644 43.61292396));;Maize;iPG173;WW;1
44/DZ_PG_34/ZM4384/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973457394 43.61294256, 3.973487644 43.61292396, 3.973535644 43.61296516, 3.973505395 43.61298376, 3.973457394 43.61294256));;Maize;iPG159;WW;1
45/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973427145 43.61296116, 3.973457394 43.61294256, 3.973505395 43.61298376, 3.973475146 43.61300237, 3.973427145 43.61296116));;Maize;DKC4590;WW;1
46/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973396896 43.61297976, 3.973427145 43.61296116, 3.973475146 43.61300237, 3.973444896 43.61302097, 3.973396896 43.61297976));;Maize;DKC4590;WW;1
47/DZ_PG_36/ZM4372/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973366647 43.61299836, 3.973396896 43.61297976, 3.973444896 43.61302097, 3.973414647 43.61303957, 3.973366647 43.61299836));;Maize;iPG165;WW;1
48/DZ_PG_41/ZM4378/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973336398 43.61301696, 3.973366647 43.61299836, 3.973414647 43.61303957, 3.973384398 43.61305817, 3.973336398 43.61301696));;Maize;iPG181;WW;1
49/DZ_PG_07/ZM4351/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973306148 43.61303556, 3.973336398 43.61301696, 3.973384398 43.61305817, 3.973354149 43.61307677, 3.973306148 43.61303556));;Maize;iPG062;WW;1
50/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973275899 43.61305416, 3.973306148 43.61303556, 3.973354149 43.61307677, 3.973323899 43.61309537, 3.973275899 43.61305416));;Maize;iPG303;WW;1
51/DZ_PG_52/ZM4370/WW/1/DIA2017-05-19;Plot;;Polygon ((3.97324565 43.61307276, 3.973275899 43.61305416, 3.973323899 43.61309537, 3.97329365 43.61311397, 3.97324565 43.61307276));;Maize;iPG239;WW;1
52/DZ_PG_55/ZM4355/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9732154 43.61309136, 3.97324565 43.61307276, 3.97329365 43.61311397, 3.973263401 43.61313257, 3.9732154 43.61309136));;Maize;iPG146;WW;1
53/DZ_PG_13/ZM4379/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9731674 43.61305015, 3.973197649 43.61303155, 3.97324565 43.61307276, 3.9732154 43.61309136, 3.9731674 43.61305015));;Maize;iPG089;WW;1
54/DZ_PG_45/ZM4385/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973197649 43.61303155, 3.973227899 43.61301295, 3.973275899 43.61305416, 3.97324565 43.61307276, 3.973197649 43.61303155));;Maize;iPG194;WW;1
55/DZ_PG_11/ZM4386/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973227899 43.61301295, 3.973258148 43.61299435, 3.973306148 43.61303556, 3.973275899 43.61305416, 3.973227899 43.61301295));;Maize;iPG077;WW;1
56/DZ_PG_05/ZM4357/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973258148 43.61299435, 3.973288397 43.61297575, 3.973336398 43.61301696, 3.973306148 43.61303556, 3.973258148 43.61299435));;Maize;iPG026;WW;1
57/DZ_PG_27/ZM4354/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973288397 43.61297575, 3.973318647 43.61295715, 3.973366647 43.61299836, 3.973336398 43.61301696, 3.973288397 43.61297575));;Maize;iPG103;WW;1
58/DZ_PG_35/ZM4358/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973318647 43.61295715, 3.973348896 43.61293855, 3.973396896 43.61297976, 3.973366647 43.61299836, 3.973318647 43.61295715));;Maize;iPG164;WW;1
59/DZ_PG_44/ZM4369/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973348896 43.61293855, 3.973379145 43.61291995, 3.973427145 43.61296116, 3.973396896 43.61297976, 3.973348896 43.61293855));;Maize;iPG189;WW;1
